,adj close,close,high,low,open,volume
2026-03-25 09:30:00,23233.44921875,23233.44921875,23237.44921875,23207.80078125,23214.650390625,0
2026-03-25 09:35:00,23215.900390625,23215.900390625,23239.55078125,23202.55078125,23234.849609375,0
2026-03-25 09:40:00,23270.900390625,23270.900390625,23277.349609375,23204.650390625,23216.30078125,0
2026-03-25 09:45:00,23270.0,23270.0,23286.05078125,23262.05078125,23272.94921875,0
2026-03-25 09:50:00,23287.69921875,23287.69921875,23289.05078125,23262.75,23271.400390625,0
2026-03-25 09:55:00,23286.05078125,23286.05078125,23298.099609375,23269.349609375,23287.55078125,0
2026-03-25 10:00:00,23280.849609375,23280.849609375,23304.650390625,23276.94921875,23287.400390625,0
2026-03-25 10:05:00,23290.150390625,23290.150390625,23291.94921875,23246.55078125,23281.69921875,0
2026-03-25 10:10:00,23305.55078125,23305.55078125,23310.099609375,23284.94921875,23290.349609375,0
2026-03-25 10:15:00,23295.5,23295.5,23317.69921875,23289.94921875,23306.599609375,0
2026-03-25 10:20:00,23292.19921875,23292.19921875,23313.650390625,23283.349609375,23295.44921875,0
2026-03-25 10:25:00,23314.55078125,23314.55078125,23317.55078125,23291.900390625,23293.5,0
2026-03-25 10:30:00,23310.25,23310.25,23323.5,23299.94921875,23313.69921875,0
2026-03-25 10:35:00,23314.94921875,23314.94921875,23319.19921875,23302.0,23310.400390625,0
2026-03-25 10:40:00,23366.650390625,23366.650390625,23369.05078125,23312.80078125,23313.05078125,0
2026-03-25 10:45:00,23360.55078125,23360.55078125,23373.05078125,23357.0,23366.25,0
2026-03-25 10:50:00,23375.80078125,23375.80078125,23378.0,23354.349609375,23359.30078125,0
2026-03-25 10:55:00,23367.44921875,23367.44921875,23376.25,23357.19921875,23375.30078125,0
2026-03-25 11:00:00,23384.80078125,23384.80078125,23391.150390625,23366.0,23366.0,0
2026-03-25 11:05:00,23419.349609375,23419.349609375,23430.599609375,23383.150390625,23385.099609375,0
2026-03-25 11:10:00,23432.55078125,23432.55078125,23433.55078125,23415.19921875,23418.349609375,0
2026-03-25 11:15:00,23417.849609375,23417.849609375,23434.25,23412.44921875,23432.30078125,0
2026-03-25 11:20:00,23388.75,23388.75,23423.0,23388.44921875,23417.75,0
2026-03-25 11:25:00,23388.400390625,23388.400390625,23398.650390625,23377.30078125,23388.349609375,0
2026-03-25 11:30:00,23389.650390625,23389.650390625,23406.80078125,23380.0,23391.5,0
2026-03-25 11:35:00,23359.099609375,23359.099609375,23394.25,23343.5,23389.25,0
2026-03-25 11:40:00,23361.349609375,23361.349609375,23381.44921875,23355.650390625,23358.900390625,0
2026-03-25 11:45:00,23390.099609375,23390.099609375,23402.69921875,23359.400390625,23361.30078125,0
2026-03-25 11:50:00,23411.400390625,23411.400390625,23416.099609375,23389.30078125,23391.849609375,0
2026-03-25 11:55:00,23399.349609375,23399.349609375,23416.349609375,23390.400390625,23411.30078125,0
2026-03-25 12:00:00,23411.599609375,23411.599609375,23414.30078125,23394.5,23399.400390625,0
2026-03-25 12:05:00,23411.75,23411.75,23422.44921875,23402.44921875,23411.849609375,0
